image_id,image_description,frames
1,a painting of a woman in a gold dress standing on a boat,"frame:Posture, frame:CauseToPerceive, frame:People, frame:Vehicle, frame:Clothing, frame:Placing, frame:ChangePosture, frame:BeingLocated"
2,a painting of a group of people sitting around a table,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
3,a painting of a man on a horse being attacked by a group of men,"frame:Aggregate, frame:Attack, frame:CauseToPerceive, frame:People, frame:Assistance, frame:Organization"
4,painting of a castle on a hill overlooking a lake and a man on a horse,"frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:Assistance, frame:Buildings"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,"frame:CauseToPerceive, frame:Locale, frame:NaturalFeatures"
8,a painting of three women on a boat with a view of the water,"frame:CauseToPerceive, frame:Substance, frame:Range, frame:Vehicle"
9,a painting of a woman in a white dress dancing with a group of people,"frame:Aggregate, frame:Color, frame:CauseToPerceive, frame:People, frame:Clothing, frame:Organization"
12,a painting of a painting of a wave in the ocean,"frame:CauseToPerceive, frame:Event, frame:NaturalFeatures"
13,a painting of three spheres floating in the air over a field,"frame:CauseToPerceive, frame:Substance, frame:Motion"
15,a painting of a man sitting in a chair with two wings,"frame:Posture, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
16,three paintings of a woman with a baby and other people,"frame:People, frame:PeopleByAge"
17,a painting of jesus on the cross with two women and a man,"frame:CauseToPerceive, frame:People"
18,a painting of a group of people sitting around a baby,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:People, frame:PeopleByAge, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
19,a close up of a tapestry with a painting of a group of people,"frame:CauseToPerceive, frame:People, frame:Aggregate, frame:Organization"
20,a painting of two men wrestling in a field,frame:CauseToPerceive
21,a painting of jesus with birds and doves in a circle,"frame:CauseToPerceive, frame:Shapes, frame:People"
22,a painting of a man laying on a woman's chest in a room,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ObservableBodyParts, frame:PartWhole, frame:Placing"
23,a painting of a group of people sitting around a bed,"frame:Posture, frame:Aggregate, frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:ChangePosture, frame:Supply, frame:Causation, frame:Placing, frame:Organization, frame:BeingLocated"
24,a painting of a man laying on a bed with a woman,"frame:CauseToPerceive, frame:BuildingSubparts, frame:People, frame:Supply, frame:Causation, frame:Placing"
25,a painting of jesus on the cross with other people,"frame:CauseToPerceive, frame:People"
26,a painting of a group of people sitting around a tree,"frame:Posture, frame:Aggregate, frame:BiologicalArea, frame:CauseToPerceive, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
27,a painting of jesus is laying on the cross with other people,"frame:CauseToPerceive, frame:People, frame:Placing"
28,an old man in a brown coat and black hat,"frame:Accoutrements, frame:Color, frame:People, frame:Age, frame:Clothing"
29,painting of a woman holding a basket of flowers in a cave,"frame:NaturalFeatures, frame:Possession, frame:Containing, frame:CauseToPerceive, frame:People, frame:Inclusion, frame:Manipulation, frame:Containers"
30,a painting of a woman holding a baby in a field,"frame:Possession, frame:Containing, frame:CauseToPerceive, frame:People, frame:PeopleByAge, frame:Inclusion, frame:Manipulation"
31,a painting of a woman and two babies in a landscape,"frame:CauseToPerceive, frame:People"
32,a painting of a group of people on a cross with a man on a cross,"frame:CauseToPerceive, frame:People, frame:Aggregate, frame:Organization"
33,a painting of a man on the cross being taken from the ground,"frame:HaveAsRequirement, frame:NaturalFeatures, frame:TakingTime, frame:CauseToPerceive, frame:RequiredEvent, frame:Needing, frame:People"
34,a painting of a woman holding a knife and a man,"frame:CauseToPerceive, frame:People, frame:Weapon"
35,a painting of a woman in a bikini holding a knife,"frame:CauseToPerceive, frame:Clothing, frame:People, frame:Weapon"
36,a painting of a woman in a green dress holding a drawing,"frame:CauseToPerceive, frame:Clothing, frame:People, frame:Color"
37,a painting of a man in a black coat and a brown hat,"frame:Accoutrements, frame:Color, frame:CauseToPerceive, frame:People, frame:Clothing"
38,a painting of a young girl in a white dress sitting on a chair,"frame:Posture, frame:Color, frame:CauseToPerceive, frame:People, frame:Age, frame:Clothing, frame:Placing, frame:ChangePosture, frame:BeingLocated"
40,a painting of a painting of a large crowd of people,"frame:Aggregate, frame:Dimension, frame:CauseToPerceive, frame:People, frame:Size"
41,a painting of a man and a woman with a horse,"frame:CauseToPerceive, frame:Assistance, frame:People"
43,a painting of a man with a sword and a rope,"frame:Connectors, frame:People, frame:Weapon, frame:CauseToPerceive"
44,a painting of a woman sitting next to a spinning wheel,"frame:Posture, frame:CauseToPerceive, frame:Artifact, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
