image_id,image description,frames,Emotions,Values,Triggers
1,a painting of a woman in a gold dress standing on a boat,"frame:Clothing, frame:Posture, frame:Placing, frame:Vehicle, frame:CauseToPerceive, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dress-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-boat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-gold-noun-3"
2,a painting of a group of people sitting around a table,"frame:Organization, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Aggregate, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-table-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
3,a painting of a man on a horse being attacked by a group of men,"frame:Organization, frame:Attack, frame:CauseToPerceive, frame:Aggregate, frame:People, frame:Assistance",,"mft:Care, bhv:Benevolence, folk:Helping, mft:Harm","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/data/framestercore/Attack, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/vn/vn31/data/Attack_33000000, https://w3id.org/framester/data/framestercore/Assistance, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
4,painting of a castle on a hill overlooking a lake and a man on a horse,"frame:NaturalFeatures, frame:CauseToPerceive, frame:People, frame:Assistance, frame:Buildings",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-lake-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-palace-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hill-noun-1, https://w3id.org/framester/data/framestercore/Assistance, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,"frame:NaturalFeatures, frame:CauseToPerceive, frame:Locale",,,"https://w3id.org/framester/wn/wn30/instances/synset-rainbow-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sky-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-waterfall-noun-1"
8,a painting of three women on a boat with a view of the water,"frame:CauseToPerceive, frame:Vehicle, frame:Range, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-water-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-position-noun-3, https://w3id.org/framester/wn/wn30/instances/synset-boat-noun-1"
9,a painting of a woman in a white dress dancing with a group of people,"frame:Clothing, frame:Organization, frame:CauseToPerceive, frame:Aggregate, frame:Color, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dress-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dancing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
12,a painting of a painting of a wave in the ocean,"frame:NaturalFeatures, frame:CauseToPerceive, frame:Event",,,"https://w3id.org/framester/wn/wn30/instances/synset-ocean-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-wave-noun-1"
13,a painting of three spheres floating in the air over a field,"frame:CauseToPerceive, frame:Motion, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-field-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-air-noun-1"
15,a painting of a man sitting in a chair with two wings,"frame:Posture, frame:Placing, frame:CauseToPerceive, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-chair-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1"
