image_id,image description,frames,Emotions,Values
1,a painting of a woman in a gold dress standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
3,a painting of a man on a horse being attacked by a group of men,,,"bhv:Benevolence, folk:Helping, mft:Care, mft:Harm"
4,painting of a castle on a hill overlooking a lake and a man on a horse,,,"bhv:Benevolence, folk:Helping, mft:Care"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,,,
8,a painting of three women on a boat with a view of the water,,,
9,a painting of a woman in a white dress dancing with a group of people,,,1,a painting of a woman in a gold dress standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
1,a painting of a woman in a gold dress standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
3,a painting of a man on a horse being attacked by a group of men,,,"mft:Care, bhv:Benevolence, folk:Helping, mft:Harm"
4,painting of a castle on a hill overlooking a lake and a man on a horse,,,"mft:Care, bhv:Benevolence, folk:Helping"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,,,
8,a painting of three women on a boat with a view of the water,,,
9,a painting of a woman in a white dress dancing with a group of people,,,
12,a painting of a painting of a wave in the ocean,,,
13,a painting of three spheres floating in the air over a field,,,
15,a painting of a man sitting in a chair with two wings,,,
16,three paintings of a woman with a baby and other people,,,folk:Family
17,a painting of jesus on the cross with two women and a man,,,
1,a painting of a woman in a gold dress standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
1,a painting of a woman in a gold dress standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
3,a painting of a man on a horse being attacked by a group of men,,,
1,a painting of a woman in a gold dress standing on a boat,,,
1,a painting of a woman in a gold dress standing on a boat,,,
2,a painting of a group of people sitting around a table,,,
3,a painting of a man on a horse being attacked by a group of men,,,"mft:Care, mft:Harm, bhv:Benevolence, folk:Helping"
4,painting of a castle on a hill overlooking a lake and a man on a horse,,,"mft:Care, bhv:Benevolence, folk:Helping"
6,a painting of a rainbow over a waterfall with a rainbow in the sky,,,
8,a painting of three women on a boat with a view of the water,,,
9,a painting of a woman in a white dress dancing with a group of people,,,
12,a painting of a painting of a wave in the ocean,,,
13,a painting of three spheres floating in the air over a field,,,
15,a painting of a man sitting in a chair with two wings,,,
16,three paintings of a woman with a baby and other people,,,folk:Family
