image_id	caption
1	a painting of a woman in a gold dress excitedly standing on a boat
2	a painting of a group of people sitting around a table
3	a painting of a man on a horse being attacked by a group of men
4	painting of a castle on a hill overlooking a lake and a man on a horse
6	a painting of a rainbow over a waterfall with a rainbow in the sky
8	a painting of three women on a boat with a view of the water
9	a painting of a woman in a white dress dancing with a group of people
12	a painting of a painting of a wave in the ocean
13	a painting of three spheres floating in the air over a field
15	a painting of a man sitting in a chair with two wings
16	three paintings of a woman with a baby and other people with fervour
17	a painting of jesus on the cross with two women and a man
